SEQN,SDDSRVYR,RIDSTATR,RIAGENDR,RIDAGEYR,RIDRETH1,RIDRETH3,RIDEXMON,DMQMILIZ,DMDBORN4,DMDCITZN,DMDEDUC2,DMDMARTL,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANGA,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDHHIN2,INDFMIN2,INDFMPIR,DMDHHSIZ,DMDFMSIZ,DMDHHSZA,DMDHHSZB,DMDHHSZE,DMDHRGND,DMDHRAGE,DMDHRBR4,DMDHREDU,DMDHRMAR,DMDHSEDU
64388,7,2,1,69,4,4,1.0,1.0,1,1.0,4.0,3.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,8232.241159000001,8296.636338,2,98,5.0,5.0,2.2,1,1,0,0,1,1,69,1.0,4.0,3.0,
64389,7,2,1,10,1,1,1.0,,1,1.0,,,2,1.0,2,2.0,2.0,2.0,1.0,2.0,2.0,1.0,9485.228453,10197.575257999999,1,103,10.0,10.0,2.82,4,4,0,2,0,1,41,2.0,1.0,1.0,1.0
64390,7,2,2,45,4,4,2.0,2.0,1,1.0,3.0,5.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,18494.181242,18934.264494,2,99,4.0,4.0,0.78,4,4,0,2,0,2,45,1.0,3.0,5.0,
64391,7,2,2,26,2,2,2.0,2.0,1,1.0,5.0,6.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,36731.516900999995,42296.380247,1,99,10.0,6.0,2.75,2,1,0,0,0,1,31,1.0,4.0,6.0,
64392,7,2,1,10,3,3,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,46228.073505,48314.890943,2,94,5.0,5.0,0.89,4,4,0,2,0,2,51,1.0,2.0,3.0,
64393,7,2,2,16,4,4,1.0,,1,1.0,,,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,14166.687431999999,14623.202490000001,1,100,15.0,15.0,3.87,6,6,1,3,0,2,39,1.0,4.0,1.0,4.0
64394,7,2,2,2,1,1,2.0,,1,1.0,,,2,1.0,2,1.0,2.0,2.0,,,,,8082.096138,8109.693751999999,1,90,4.0,4.0,0.46,7,7,2,3,0,2,34,2.0,1.0,6.0,
64395,7,2,1,6,3,3,2.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,58159.917125,59822.981903,3,92,15.0,15.0,5.0,4,4,0,2,0,2,38,1.0,5.0,1.0,5.0
64396,7,2,2,51,3,3,1.0,2.0,1,1.0,3.0,3.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,162038.12624,162493.980108,1,94,77.0,77.0,,1,1,0,0,0,2,51,1.0,3.0,3.0,
64397,7,2,2,54,5,6,2.0,2.0,1,1.0,5.0,5.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,15714.689474,15797.787849,2,99,15.0,15.0,5.0,1,1,0,0,0,2,54,1.0,5.0,5.0,
64398,7,2,1,4,4,4,1.0,,1,1.0,,,1,1.0,2,1.0,2.0,2.0,,,,,14467.4421,15952.720643999999,2,101,5.0,5.0,1.19,3,3,1,0,0,2,32,1.0,4.0,1.0,3.0
64399,7,2,2,45,3,3,2.0,2.0,1,1.0,5.0,3.0,1,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,1.0,26763.110196,36351.891896,2,94,3.0,3.0,0.95,2,2,0,1,0,2,45,1.0,5.0,3.0,
