respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
92,1,180918,180918,1,0,1,2,17,5,S,2,17,S,5,1,2,2, , , ,1,2,1,2,1,1,2,9,9,2,1,9,1,1,2,1,2,1,1,2,1, , , , , , , ,9,1,1,1, , , , ,3,1,3,3,1,1,2,1, , ,1,2, , ,2, ,2, ,2,1,2,1,1, ,2,1,2, ,3,9, ,1,1,2,2,3,2,9,2, , ,3,4,3,3,2,63,5,2,1,1, ,2, ,2,5,6,1,4,1,1,1,3,9,2,5,4,3,1, , ,1,1, , ,1.1341565
93,1,180918,180918,1,0,1,3,40,1,R,3,40,R,1,1,2,1, , , ,1,2,1,2,2,2,4,2, ,9,1,2,1,1,1,1,1,4,1,9,9, , , , , , , ,2,2,1,1, , , , ,2,3,2,4,2,1,9,9, , ,2,3, , ,4, ,2, ,2,2,1,2,9, ,2,1,2, ,3,2, ,4,1,4,1,2,1,2,4, , ,4,4,2,2,2,90,6,2,1,1, ,2, ,1,1,9,1,2, , ,2,5,5,5,2,2,2,2,2, ,1,0, , ,0.8150549
94,1,180918,180918,1,0,1,3,1,1,R,3,1,R,1,1,2,1, , , ,2,1,0,2,2,1,2,1, ,3,1,1,2,1,2, , , , , , ,1,2,1,1,1,2,1, , , , ,1,1,1,1,4,3,3,3,1, , , ,1,1, , ,3,3, ,1, ,1,2,2,1, ,2,2,1,2, ,2,3, ,1,4,1,2,3,4,2,3,2,1,1, , , , ,2,56,3,2,1,1, ,1, ,1,2,4,1,1, ,2,1,2,1,1,4,3,3,2,1, ,1,0, , ,2.5463809
95,1,180918,180918,1,0,1,3,48,5,S,3,48,S,5,1,2,1, , , ,1,1,1,2,2,2,1,2, ,1,1,2,2,2,2,3,3,2,3,2,2, , , , , , , ,2,2,2,2, , , , ,2,3,2,3,2,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,2, ,2,2, ,2,1,4,2,2,1,1,4, , , , , , ,1,70,8,2,1,1, ,1, ,2,3,8,1,2, , ,2,4,5,5,3,3,3,1, , ,1,1, , ,0.5147263
97,1,180918,180918,1,0,1,3,22,1,R,3,22,R,1,1,2,1, , , ,1,2,1,2,1,1,1,2, ,3,1,1,1,1,1,3,1,1,1,1,1, , , , , , , ,1,1,1,1, , , , ,1,1,2,2,2,2,2,1, , ,1,1, , ,1, ,2, ,2,2,1,1,1, ,1,1,1, ,2,1, ,4,1,1,1,8,1,4,1, , , , , , ,2,45,3,2,1,1, ,1, ,1,3,3,1,2, , ,2,1,4,4,6,4,3,1, , ,1,1, , ,2.3978776
100,1,180918,180918,1,0,1,3,21,1,R,3,21,R,1,1,2,2, , , ,2,2,1,2,2,2,2,2, ,1,1,2,1,2,1, , , , , , ,3,2,1,2,2,1,2, , , , ,2,2,2,1,2,2,1,5,2, , , ,2,1, , ,2,2, ,2, ,2,1,1,1, ,1,1,2,1,2, ,3, ,2,2,2,3,2,8,1,2,4,2,2, , , , ,2,50,8,2,1,1, ,1, ,1,4,8,1,2, , ,2,3,4,4,2,2,2,1, , ,1,1, , ,0.4219961
105,1,180919,180918,2,0,1,2,17,1,R,2,17,R,1,2,2,1, , , ,2,2,1,2,2,1,4,1, ,2,1,1,1,1,1, , , , , , ,1,1,3,1,1,1,1, , , , ,9,1,1,1,2,1,3,5,1, , , ,1,1, , ,1,1, ,1, ,1,1,2,2, ,1,2,2,9, , ,1, ,1,2,1,2,4,1,1,3,1,9,2, , , , ,2,84,4,2,1,1, ,1, ,2,6,1,1,1, ,9,1,9,9,9,9,9,2,2,2, ,1,0, , ,1.2685754
106,1,180918,180918,1,0,1,2,17,3,S,2,17,S,3,2,2,1, , , ,2,1,1,2,1,1,2,1, ,1,1,1,1,2,1, , , , , , ,1,1,9,2,1,1,1, , , , ,1,1,1,1,1,1,2,1,1, , , ,4,1, , ,1,1, ,1, ,1,2,2,2, ,1,2,1,2, ,2,3, ,1,1,1,2,4,3,1,4,2,1,1,4,4,3,9,2,55,5,2,9,9, ,2, ,2,5,10,1,1, ,1,1,2,1,1,2,2,2,2,2, ,1,0, , ,1.9239686
107,1,180918,180918,1,0,1,4,2,1,R,4,2,R,1,2,2,1, , , ,2,1,0,2,2,2,1,2, ,1,1,2,2,1,1, , , , , , ,3,1,1,1,2,1,2, , , , ,2,2,1,1,2,3,1,5,2, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,1,1,1, ,3, ,2,2,1,4,2,2,1,1,4,1,2, , , , ,1,58,8,2,1,1, ,12, , ,6,7,1,2, , ,2,4,5,5,3,2,2,1, , ,1,1, , ,0.2808725
108,1,180918,180918,1,0,1,2,27,5,U,2,27,U,5,1,2,1, , , ,2,1,0,2,1,2,1,2, ,3,2,3,1,1,1, , , , , , ,2,1,1,1,1,1,1, , , , ,2,2,2,1,2,3,1,2,2, , , ,2,1, , ,2,2, ,2, ,1,1,2,1, ,2,1,2,1,9, ,3, ,2,2,1,2,2,2,1,1,3,1,1, , , , ,1,81,5,2,1,1, ,1, ,2,2,3,1,3,2, ,2,3,3,4,2,2,2,2,2, ,1,0, , ,1.9672304
