respid,sample,int_date,fcall,attempt,refusal,ilang,cregion,state,density,usr,scregion,sstate,susr,sdensity,igender,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,form,llitext,phtype,qs1,q1,q2,campnii,q7,q8,q11,q12,q13,q28a,q28b,q28c,q28df1,q28e,q28ff1,q28gf1,q28hf1,q28if1,q28jf2,q28kf2,q28lf2,q28mf2,q28nf2,q28of2,q28pf2,q33af1,q33bf1,q33cf1,q33df1,q33ef2,q33ff2,q33gf2,q33hf2,q44a,q44b,q45a,q45b,q46,q50af1,q50bf1,q50cf1,q50df2,q50ef2,q51af1,q51bf1,q51cf2,q51df2,q58,q59,q64f1,q65f2,q66a,q66b,q66c,q66df1,q66e,q66ff2,q73,q74,q74a,q74b,q75,q76,q77,q78,q79,q83a,q83b,q84,q93,q96,q97,q98,q99,q100a,q100b,q100c,q100d,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,born,attend,income,reg,party,partyln,q101,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,cellweight,weight
200037,2,180918,180918,1,0,1,1,34,5,S,1,36,,5,2,2,2, , , ,1, ,,2,1,1,1,1, ,1,1,3,1,1,1,1,3,1,1,3,3, , , , , , , ,2,1,1,1, , , , ,2,1,3,2,1,9,1,1, , ,2,1, , ,3, ,1, ,2,2,1,2,1, ,1,2, ,2,3,1, ,4,1,2,4,4,1,4,2, , , , , , ,1,27,6,1,5,3,1,1, ,1,2,6,1,1, ,1,1,2,1,1,1, ,1, , ,2,0,1,1,0.6284198,0.9743224
200038,2,180918,180918,1,0,1,1,42,2,R,1,42,,3,2,1,1, , , ,1, ,,2,2,2,1,1, ,1,1,2,1,1,1,1,1,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,4,3,4,2,2,1,1,1, , ,1,1, , ,1, ,2, ,2,1,1,1,2, ,2,2, ,2,3,2, ,4,1,3,1,2,3,1,4, , , , , , ,2,60,4,2,1,1, ,1, ,1,2,2,1,1, ,2,1,2,1,1,1, ,1, , ,2,0,1,1,0.7857063,0.8495072
200040,2,180918,180918,1,0,1,3,13,4,S,3,13,,2,2,1,1, , , ,1, ,,2,2,2,4,2, ,1,2,3,1,2,1,1,1,2,3,3,1, , , , , , , ,2,1,2,2, , , , ,3,3,3,2,2,1,2,2, , ,1,1, , ,3, ,3, ,2,1,1,1,2, ,2,1,1, ,1,9, ,4,2,3,2,3,2,9,3, , , , , , ,1,26,7,2,3,4, ,8, , ,1,6,9,3,2, ,2,3,3,4,1, ,1, , ,2,0,1,1,0.6525187,0.7382377
200041,2,180918,180918,1,0,1,2,17,5,S,2,39,,4,1,1,2, , , ,2, ,,2,9,1,3,1, ,1,1,3,2,1,2, , , , , , ,2,1,2,3,2,2,2, , , , ,2,1,2,1,3,3,3,1,2, , , ,1,1, , ,2,2, ,2, ,2,1,1,1, ,2,2,1,1,2, ,3, ,1,2,1,3,3,2,2,3,2,1,1, , , , ,1,49,4,2,1,1, ,1, ,2,5,5,1,1, ,1,1,2,1,1,1, ,1, , ,1,1,1,1,1.5809729,0.9183721
200043,2,180923,180918,6,0,1,1,36,4,S,1,36,,5,1,1,1, , , ,2, ,,2,2,1,1,3,1,1,1,3,1,2,2, , , , , , ,1,1,3,2,1,2,1, , , , ,2,9,1,1,1,1,2,2,1, , , ,4,1, , ,4,4, ,2, ,1,5,2,1, ,1,2,1,2, ,2,3, ,1,3,2,2,3,8,1,3,2,1,2,9,4,3,9,1,62,6,2,1,1, ,2, ,2,4,8,1,3,1,2,1,2,3,1,5,5,3, , ,1,1,1,1,0.3012986,0.3023132
200044,2,180920,180918,3,0,1,1,36,2,S,1,36,,4,2,2,1, , , ,2, ,,2,2,2,2,2, ,1,1,2,3,1,1, , , , , , ,3,1,1,2,1,2,3, , , , ,2,2,2,2,3,3,2,5,2, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,2,1,1, ,2, ,9,1,1,4,3,8,1,2,4,2,2, , , , ,2,66,6,2,1,1, ,9, , ,6,10,1,3,2, ,2,5,3,5,2,2,2, , ,2,0,1,9,0.8529903,0.7265003
200045,2,180918,180918,1,0,1,1,9,2,R,1,9,,4,1,2,1, , , ,1, ,,2,2,1,3,1, ,2,1,3,1,1,1,1,1,1,1,3,3, , , , , , , ,1,1,1,1, , , , ,2,3,2,2,1,2,1,1, , ,1,1, , ,4, ,1, ,2,1,2,1,2, ,1,2, ,2,3,9, ,3,1,1,4,4,2,2,2, , , , , , ,2,50,5,2,1,1, ,1,1,1,2,7,1,3,1,2,1,1,3,1,5,1,1, , ,2,0,1,9,1.2508397,1.2153502
200047,2,180918,180918,1,0,1,2,19,2,U,3,21,,4,2,2,1, , , ,1, ,,2,1,1,1,1, ,1,1,1,1,1,1,4,2,1,1,4,2, , , , , , , ,2,1,2,3, , , , ,3,3,3,4,1,2,1,4, , ,1,1, , ,4, ,3, ,1,2,2,1,1, ,1,2, ,2,3,1, ,1,1,2,4,8,1,2,2, , , , , , ,1,31,6,2,1,1, ,13, ,2,3,4,1,3,1,2,1,3,3,2,1, ,1, , ,2,0,1,9,0.425819,0.616103
200049,2,180918,180918,1,0,1,1,42,3,S,1,42,,3,2,1,4, , , ,1, ,,2,2,1,4,9,1,3,2,1,1,1,1,1,1,2,1,2,2, , , , , , , ,2,1,1,1, , , , ,3,1,4,5,1,2,1,1, , ,1,1, , ,2, ,2, ,1,1,1,2,1, ,1,2, ,2,3,1, ,1,1,2,2,5,2,3,3, , , , , , ,2,62,6,2,1,1, ,13,1,1,1,10,1,3,1,2,1,3,3,2,1, ,1, , ,2,0,1,9,0.7061882,0.7719385
200051,2,180918,180918,1,0,1,3,37,2,S,3,37,,4,2,1,1, , , ,1, ,,2,2,2,3,9,2,1,1,2,1,1,2,1,2,1,2,2,2, , , , , , , ,2,2,2,2, , , , ,2,1,2,2,1,1,9,2, , ,1,2, , ,1, ,1, ,9,1,1,1,1, ,2,2, ,2,3,2, ,9,9,3,3,2,1,1,2, , , , , , ,1,43,6,2,3,4, ,1, ,1,1,9,3,9,1,2,1,2,9,1,4,2,2, , ,1,1,1,9,0.3488484,0.3674265
200052,2,180918,180918,1,0,1,2,26,3,U,2,26,,3,2,2,1, , , ,1, ,,2,2,2,2,2, ,1,1,2,2,1,2,1,3,3,3,1,1, , , , , , , ,2,2,2,2, , , , ,2,3,3,2,2,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,2,2, ,2,1,4,2,2,1,1,4, , , , , , ,1,38,5,2,1,1, ,12, , ,5,3,1,2, , ,2,5,5,5,2,2,2, , ,2,0,1,9,1.0499667,1.4985407
200053,2,180918,180918,1,0,1,3,12,4,S,3,12,,2,1,2,2, , , ,1, ,,2,2,2,4,2, ,3,2,2,1,2,2,9,1,2,2,9,1, , , , , , , ,2,2,2,2, , , , ,4,1,3,9,1,1,2,2, , ,2,9, , ,2, ,3, ,2,1,1,5,2, ,1,9, , ,2,2, ,9,1,4,1,5,1,3,4, , , , , , ,1,25,4,1,1,3,2,12, , ,5,4,1,2, , ,2,2,4,4,4,3,3, , ,2,0,1,9,1.5706847,1.9754819
200054,2,180918,180918,1,0,1,3,51,4,,3,51,,4,2,1,4, , , ,2, ,,2,2,2,4,3,9,9,2,3,4,4,2, , , , , , ,9,4,2,4,1,4,4, , , , ,2,2,2,1,3,3,3,2,1, , , ,9,1, , ,2,2, ,4, ,3,2,2,1, ,1,2,2,2, ,2,3, ,2,1,1,3,3,2,3,9,9,2,2, , , , ,1,18,3,2,4,4, ,99,2, ,6,10,1,3,9, ,9,3,3, ,1, ,1, , ,2,0,1,9,1.3658638,2.3775096
200055,2,180918,180918,1,0,1,3,51,5,U,3,45,,2,2,2,1, , , ,2, ,,2,1,1,1,1, ,1,1,1,2,2,1, , , , , , ,1,1,2,1,2,1,1, , , , ,1,1,1,1,1,1,2,1,1, , , ,1,4, , ,1,1, ,1, ,1,2,2,2, ,1,2,1,2, ,2,1, ,1,3,2,3,4,4,1,4,1,2,9, , , , ,1,49,7,2,1,1, ,1, ,1,1,6,1,3,1,2,1,1,3,1,6,3,3, , ,2,0,1,9,0.5920419,0.901612
200057,2,180918,180918,1,0,1,3,13,2,U,3,13,,1,1,2,1, , , ,1, ,,2,2,1,1,1, ,1,1,1,1,1,1,2,1,1,1,3,2, , , , , , , ,1,1,1,1, , , , ,1,1,2,1,1,2,1,1, , ,1,1, , ,4, ,1, ,2,2,2,2,1, ,1,2, ,2,1,1, ,9,2,1,4,9,1,4,1, , , , , , ,1,71,3,2,1,1, ,1, ,1,2,4,1,1, ,1,1,2,1,1,3,3,3, , ,1,1,1,1,1.4368084,0.8687422
200059,2,180918,180918,1,0,1,3,48,1,R,2,39,,4,1,2,2, , , ,1, ,,2,1,9,1,1, ,1,1,3,1,3,1,9,2,1,2,2,3, , , , , , , ,1,1,1,1, , , , ,2,2,2,5,2,2,1,1, , ,2,1, , ,3, ,2, ,2,5,1,2,1, ,1,2, ,2,1,1, ,2,9,8,3,3,1,4,2, , , , , , ,1,51,3,2,1,1, ,13, ,1,4,8,1,3,1,2,1,3,3,2,3,2,2, , ,2,0,1,9,2.3323104,1.8197924
200060,2,180918,180918,1,0,1,1,36,3,S,1,36,,3,2,2,1, , , ,2, ,,2,1,1,2,1, ,1,1,1,1,1,2, , , , , , ,1,1,4,1,2,1,3, , , , ,1,1,1,1,2,1,1,2,1, , , ,1,1, , ,1,1, ,1, ,1,2,1,2, ,1,2,1,1,2, ,3, ,1,2,2,2,4,3,1,4,2,1,1, , , , ,1,61,4,2,1,1, ,12, , ,3,8,1,3,1,2,1,2,3,1,2,2,2, , ,1,1,1,9,0.5763884,0.4988379
200061,2,180918,180918,1,0,1,1,36,2,U,1,36,,2,2,1,3, , , ,1, ,,2,1,1,2,1, ,3,2,3,1,1,2,1,1,1,2,1,2, , , , , , , ,1,1,1,1, , , , ,1,3,1,2,2,2,1,1, , ,1,1, , ,4, ,2, ,2,2,1,1,2, ,2,2, ,2,3,1, ,2,2,2,2,2,1,2,1, , , , , , ,1,56,5,2,1,1, ,3, ,2,3,9,1,3,1,2,1,3,3,2,4,2,2, , ,1,1,1,9,0.6722736,0.6705367
200065,2,180918,180918,1,0,1,1,36,2,S,1,36,,2,1,2,1, , , ,1, ,,2,2,2,1,2, ,1,1,2,1,1,3,1,2,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,3,2,3,1,2,1,1,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,3,2, ,2,1,4,1,2,1,1,4, , , , , , ,1,40,5,2,1,1, ,9, , ,6,5,1,2, , ,2,4,5,5,5,1,1, , ,2,0,1,9,1.111183,1.4635728
200067,2,180918,180918,1,0,1,1,36,5,S,1,36,,5,2,2,1, , , ,2, ,,2,2,2,1,2, ,1,1,2,2,1,1, , , , , , ,1,1,1,1,1,2,2, , , , ,2,2,2,2,4,3,2,5,2, , , ,2,2, , ,2,2, ,2, ,3,1,1,1, ,2,1,2,1,9, ,3, ,2,2,9,4,2,2,1,1,4,9,2, , , , ,1,65,6,2,1,1, ,9, , ,6,9,1,2, , ,2,4,5,5,2,2,2, , ,1,1,1,9,0.567253,0.5149895
200068,2,180918,180918,1,0,1,3,12,2,R,1,9,,3,2,1,1, , , ,1, ,,2,1,1,2,1, ,1,1,1,1,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1,1, , , , ,2,1,1,2,1,2,1,1, , ,2,1, , ,4, ,3, ,1,1,5,2,1, ,1,1,1, ,3,1, ,2,1,2,4,8,1,1,1, , , , , , ,2,46,6,2,1,1, ,13, ,1,4,8,1,3,1,1,1,2,3,1,4,4,3, , ,1,1,1,9,0.7884225,0.6727507
200069,2,180918,180918,1,0,1,1,36,4,U,1,36,,4,1,2,1, , , ,2, ,,2,2,2,1,2, ,1,1,2,1,1,1, , , , , , ,1,1,1,1,2,1,1, , , , ,2,2,2,2,4,2,2,2,2, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,1,2, ,2,2, ,2,2,1,4,2,3,1,2,4,2,2, , , , ,2,45,6,2,2,2, ,6, , ,2,8,1,2, , ,2,4,5,5,3,2,2, , ,2,0,1,1,0.6667399,0.8259963
200071,2,180918,180918,1,0,1,1,23,2,S,1,33,,2,2,2,1, , , ,2, ,,2,2,2,1,2, ,3,1,3,2,1,1, , , , , , ,2,1,1,2,2,3,1, , , , ,2,2,2,1,3,3,2,3,2, , , ,2,2, , ,2,2, ,3, ,2,1,1,1, ,2,1,2,1,1, ,2, ,2,1,1,3,3,3,1,2,4,2,2, , , , ,1,21,3,1,1,3,1,7, , ,3,1,1,3,2, ,2,5,3,5,4,3,3, , ,1,1,1,9,0.4568358,0.4749503
200073,2,180918,180918,1,0,1,2,26,5,U,2,26,,4,2,2,2, , , ,2, ,,2,2,2,1,2, ,1,1,2,1,1,1, , , , , , ,1,1,2,2,1,1,2, , , , ,2,2,2,2,4,2,3,3,2, , , ,2,2, , ,2,2, ,4, ,2,1,1,1, ,2,1,2,1,1, ,2, ,2,2,1,4,2,2,1,1,4,1,1, , , , ,1,56,4,2,1,1, ,9, , ,4,6,1,2, , ,2,4,5,5,2,2,2, , ,2,0,1,9,0.6958754,0.9562995
200074,2,180918,180918,1,0,1,3,37,4,U,3,45,,3,2,1,1, , , ,2, ,,2,1,9,2,2, ,2,1,3,2,2,1, , , , , , ,3,4,3,1,3,3,4, , , , ,1,2,2,1,2,3,1,2,1, , , ,1,1, , ,2,2, ,3, ,1,2,2,1, ,1,2,1,2, ,2,4, ,1,2,1,3,2,1,1,1,2,2,2, , , , ,1,29,6,2,1,1, ,11,2, ,4,7,1,5,9, ,9,3,9, ,2,2,2, , ,2,0,1,9,0.3681076,0.5149606
200077,2,180918,180918,1,0,1,1,36,5,U,3,12,,3,1,2,1, , , ,1, ,,2,1,1,2,1, ,3,1,1,1,2,1,3,1,2,2,2,2, , , , , , , ,1,1,1,1, , , , ,2,3,2,2,2,2,1,1, , ,1,1, , ,4, ,3, ,2,1,2,1,1, ,1,2, ,9,3,1, ,1,1,2,4,1,1,3,4, , , , , , ,2,32,7,2,1,1, ,11,1,2,5,7,1,1, ,1,1,2,1,1,2,2,2, , ,2,0,1,1,1.3286986,1.9248692
200083,2,180918,180918,1,0,1,3,12,2,U,3,12,,2,2,2,1, , , ,1, ,,2,2,1,1,1, ,2,2,3,2,3,1,1,2,4,4,4,1, , , , , , , ,2,1,1,1, , , , ,2,9,1,2,2,2,1,1, , ,3,3, , ,9, ,3, ,1,1,1,2,1, ,1,2, ,2,1,1, ,4,2,3,4,4,1,4,2, , , , , , ,1,49,6,2,1,1, ,1,1,1,1,9,1,1, ,1,1,1,1,1,7,4,3, , ,1,1,1,9,0.4649883,0.4720229
200084,2,180918,180918,1,0,1,1,50,1,S,1,50,,2,2,1,1, , , ,2, ,,2,1,1,1,1, ,1,1,3,1,1,1, , , , , , ,1,1,2,2,1,1,1, , , , ,2,1,1,1,2,1,2,2,1, , , ,4,1, , ,1,1, ,4, ,1,2,2,1, ,2,2,1,2, ,2,1, ,1,2,1,2,4,2,1,3,2,1,1,2,3,2,2,1,59,3,2,1,1, ,2, ,2,4,8,1,1, ,2,1,2,1,1,2,2,2, , ,1,1,1,9,1.266976,0.9047349
200085,2,180918,180918,1,0,1,2,26,2,S,2,26,,4,1,2,1, , , ,2, ,,2,2,2,2,2, ,1,1,3,2,1,1, , , , , , ,2,2,1,1,1,1,2, , , , ,2,2,2,1,2,3,3,2,2, , , ,2,2, , ,2,2, ,4, ,2,1,1,1, ,2,2,2,1,2, ,3, ,2,2,2,3,1,3,1,3,4,1,1, , , , ,2,50,6,2,2,2, ,1, ,1,1,8,1,2, , ,2,4,5,5,2,2,2, , ,2,0,1,9,1.0845033,1.1565466
200086,2,180918,180918,1,0,1,2,39,4,S,2,39,,4,1,2,1, , , ,2, ,,2,9,9,3,1, ,1,2,3,1,1,3, , , , , , ,1,2,1,2,1,1,1, , , , ,3,1,1,1,2,1,1,2,2, , , ,3,2, , ,1,1, ,1, ,1,2,2,1, ,1,2,1,2, ,2,3, ,1,2,2,2,3,8,2,2,2,1,1,9,9,9,9,1,31,6,2,1,1, ,2, ,2,4,7,1,3,1,2,1,3,3,2,1, ,1, , ,2,0,1,9,0.4493569,0.5796887
200094,2,180918,180918,1,0,1,2,39,2,R,2,39,,5,2,1,1, , , ,2, ,,2,2,2,1,2, ,1,1,2,1,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,2,2,2,1,4,2,2,4,2, , , ,2,2, , ,2,2, ,3, ,9,1,1,1, ,2,1,2,1,2, ,2, ,2,1,1,4,2,2,1,2,4,9,9, , , , ,2,73,8,2,1,1, ,1, ,2,4,6,1,2, , ,2,4,5,5,2,2,2, , ,1,1,1,9,0.7751526,0.4164419
200095,2,180918,180918,1,0,1,1,23,1,R,1,23,,1,2,2,1, , , ,1, ,,2,1,1,2,1, ,3,1,1,1,2,1,1,1,1,1,2,2, , , , , , , ,1,1,1,1, , , , ,1,3,2,2,1,2,1,1, , ,1,1, , ,2, ,1, ,1,2,1,2,2, ,1,2, ,1,3,1, ,2,9,2,4,9,1,3,1, , , , , , ,2,88,5,2,1,1, ,1, ,9,2,3,1,1, ,1,1,1,1,1,2,2,2, , ,1,1,1,9,0.6136774,0.4275692
200097,2,180918,180918,1,0,1,3,47,3,,3,47,,3,2,1,4, , , ,2, ,,2,1,1,1,1, ,2,1,3,1,1,1, , , , , , ,1,2,2,2,1,1,1, , , , ,2,1,1,1,2,3,3,3,2, , , ,1,1, , ,1,1, ,1, ,2,2,5,1, ,1,2,2,2, ,2,4, ,1,9,2,1,4,1,2,1,4,1,1, , , , ,1,84,7,2,1,1, ,12, , ,6,5,1,1, ,1,1,2,1,1,2,2,2, , ,2,0,1,9,0.3178559,0.4741504
200098,2,180918,180918,1,0,1,1,9,3,S,1,9,,3,2,2,1, , , ,1, ,,2,2,2,2,2, ,1,1,2,2,1,3,3,3,1,1,1,1, , , , , , , ,2,2,2,2, , , , ,3,2,1,2,1,1,2,2, , ,2,2, , ,1, ,2, ,1,1,1,1,2, ,2,1,1, ,3,2, ,2,1,4,2,1,1,1,4, , ,2,3,2,2,1,65,7,2,1,1, ,2, ,2,2,9,1,3,2, ,2,4,3,5,2,2,2, , ,1,1,1,9,0.4604186,0.3336966
200099,2,180918,180918,1,0,1,3,21,1,R,3,21,,2,2,1,1, , , ,2, ,,2,1,1,2,1, ,1,1,1,1,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,1,1,1,1,2,1,2,1,1, , , ,1,1, , ,1,1, ,1, ,1,2,2,1, ,1,2,1,2, ,2,1, ,1,4,2,1,4,8,1,9,1,1,1, , , , ,1,45,5,2,1,1, ,13, ,1,1,9,1,1, ,2,1,1,1,1,3,2,2, , ,1,1,1,1,0.7642747,0.6728509
200101,2,180918,180918,1,0,1,1,34,4,,1,34,,4,1,1,1, , , ,2, ,,2,1,9,2,2, ,9,2,9,1,1,4, , , , , , ,1,1,9,9,1,1,9, , , , ,1,9,9,1,2,3,3,1,9, , , ,1,2, , ,2,2, ,4, ,1,1,1,2, ,1,5,1,9, , ,2, ,9,1,1,2,2,2,9,9,9,1,9, , , , ,1,34,4,1,4,3, ,1, ,2,3,5,3,2, , ,2,3,4,4,7,5,3, , ,1,1,1,9,0.6465129,0.6445387
200103,2,180918,180918,1,0,1,4,8,2,U,2,18,,2,2,2,2, , , ,2, ,,2,2,2,1,3,2,1,1,2,2,1,1, , , , , , ,2,1,1,1,1,1,1, , , , ,2,2,2,1,3,3,3,3,1, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,2,1,2, ,2, ,2,1,1,3,2,2,1,1,4,2,2, , , , ,2,70,7,2,1,1, ,1, ,2,2,9,1,2, , ,2,3,4,4,2,2,2, , ,1,1,1,9,0.7774479,0.405819
200104,2,180918,180918,1,0,1,3,13,3,S,3,13,,4,2,1,4, , , ,1, ,,2,2,2,2,2, ,1,1,1,1,1,2,1,1,2,1,1,1, , , , , , , ,2,2,2,2, , , , ,2,2,2,3,2,1,2,2, , ,1,2, , ,4, ,2, ,1,1,1,1,2, ,2,2, ,2,2,2, ,2,1,3,1,3,1,1,4, , , , , , ,1,65,6,2,2,2, ,1, ,1,1,7,1,2, , ,2,4,5,5,2,2,2, , ,1,1,1,1,1.2249514,0.7719715
200105,2,180920,180918,3,0,1,3,13,4,S,3,13,,4,2,1,1, , , ,2, ,,2,9,9,3,1, ,2,1,3,2,2,1, , , , , , ,2,2,2,2,2,2,2, , , , ,2,1,3,1,2,2,3,2,2, , , ,4,1, , ,4,4, ,2, ,3,2,2,2, ,1,2,1,2, ,2,3, ,9,4,2,3,3,9,2,9,3,9,9, , , , ,1,59,6,2,1,1, ,1, ,1,2,8,1,1, ,2,1,2,1,1,2,2,2, , ,1,1,1,9,0.3012986,0.2808725
200108,2,180919,180918,2,0,1,3,12,2,R,3,12,,2,2,2,2, , , ,1, ,,2,1,1,1,1, ,1,1,1,1,1,2,4,2,2,1,1,2, , , , , , , ,1,1,1,1, , , , ,2,1,1,2,1,2,1,1, , ,1,1, , ,2, ,2, ,9,1,1,1,2, ,2,1,1, ,2,1, ,1,1,2,3,2,1,3,2, , ,2,1,2,2,2,71,6,2,1,1, ,2, ,2,5,10,1,1, ,1,1,3,2,2,2,2,2, , ,2,0,1,9,0.4409797,0.3840623
200109,2,180918,180918,1,0,1,1,34,2,S,3,51,,5,2,2,2, , , ,2, ,,2,2,2,1,2, ,1,1,2,1,1,1, , , , , , ,1,1,1,1,1,1,1, , , , ,2,2,2,2,3,2,3,2,2, , , ,2,2, , ,2,2, ,2, ,2,1,1,1, ,2,1,2,1,1, ,2, ,2,2,1,4,2,3,1,1,4,1,2,3,4,3,3,2,33,6,2,1,1, ,2, ,2,4,2,1,2, , ,2,5,5,5,1, ,1, , ,2,0,1,9,1.2665747,1.6282437
200110,2,180918,180918,1,0,1,2,18,2,,2,18,,2,2,1,1, , , ,2, ,,2,1,1,1,1, ,1,1,3,1,2,1, , , , , , ,1,1,1,1,2,2,2, , , , ,2,1,1,1,2,1,2,2,1, , , ,1,1, , ,1,1, ,4, ,1,2,2,2, ,1,2,1,2, ,2,1, ,1,3,1,3,4,4,1,4,3,1,2, , , , ,1,42,6,2,4,4, ,1, ,1,1,10,2,3,1,2,1,2,3,1,5,2,2, , ,1,1,1,9,0.5756246,0.6343844
200112,2,180918,180918,1,0,1,3,13,1,S,3,13,,3,2,1,4, , , ,1, ,,2,1,1,1,1, ,1,2,1,1,2,1,1,1,1,1,4,4, , , , , , , ,1,1,1,1, , , , ,1,1,3,2,1,2,1,1, , ,1,1, , ,4, ,1, ,2,1,2,2,1, ,2,2, ,2,1,1, ,1,2,2,4,3,1,4,1, , , , , , ,2,68,3,2,1,1, ,1, ,1,3,6,1,1, ,1,1,2,1,1,2,2,2, , ,1,1,1,9,1.7445906,0.8435595
200117,2,180918,180918,1,0,1,3,48,4,S,2,39,,3,1,2,1, , , ,2, ,,2,1,1,2,1, ,2,2,1,1,1,1, , , , , , ,1,2,2,1,2,1,2, , , , ,2,2,1,1,2,3,2,3,1, , , ,1,1, , ,1,1, ,1, ,1,2,2,1, ,1,2,1,2, ,2,3, ,1,3,1,2,3,2,1,3,3,1,2, , , , ,1,51,4,2,1,1, ,13, ,2,5,9,1,1, ,2,1,2,1,1,4,2,2, , ,1,1,1,9,0.7516266,0.6895567
200120,2,180919,180918,2,0,1,1,36,3,U,1,36,,3,2,2,1, , , ,1, ,,2,1,1,4,9,9,3,2,1,1,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1,1, , , , ,1,1,3,1,1,1,1,2, , ,1,1, , ,1, ,1, ,1,1,1,1,2, ,1,1,1, ,2,1, ,1,2,1,4,4,3,1,1, , ,3,4,4,4,1,82,1,2,1,1, ,2, ,1,3,1,1,1, ,1,1,3,2,2,1, ,1, , ,2,0,1,9,1.5342879,1.0814653
200122,2,180918,180918,1,0,1,3,12,3,S,3,12,,3,1,1,1, , , ,1, ,,2,2,2,2,2, ,1,1,2,1,1,1,1,1,1,1,2,1, , , , , , , ,2,2,2,2, , , , ,2,3,1,5,2,2,2,2, , ,2,2, , ,1, ,2, ,2,1,2,2,2, ,2,1,1, ,2,2, ,1,1,4,1,1,1,1,1, , , , , , ,1,86,3,2,1,1, ,1, ,1,1,10,1,2, , ,2,4,5,5,2,2,2, , ,1,1,1,9,1.5824209,0.8344064
200123,2,180918,180918,1,0,1,2,39,3,S,2,39,,3,2,2,1, , , ,2, ,,2,2,2,1,2, ,9,1,3,1,2,3, , , , , , ,4,3,2,1,1,2,2, , , , ,2,2,2,1,3,1,2,5,2, , , ,2,2, , ,1,1, ,3, ,2,1,2,1, ,2,2,2,1,1, ,2, ,2,2,2,4,2,2,2,1,4,1,2,1,3,1,9,1,27,6,2,1,1, ,2, ,2,3,5,1,2, , ,2,4,5,5,1, ,1, , ,2,0,1,9,0.582806,0.7258725
200124,2,180918,180918,1,0,1,3,51,3,S,3,51,,4,2,1,1, , , ,2, ,,2,2,2,3,2, ,2,2,3,1,1,1, , , , , , ,1,1,1,1,2,1,1, , , , ,2,9,2,2,3,3,3,2,2, , , ,2,2, , ,3,3, ,1, ,1,1,1,1, ,2,1,1,1,1, ,2, ,2,1,1,8,2,2,2,3,4,9,1, , , , ,1,28,4,1,2,3,1,12, , ,5,7,2,9,2, ,2,3,9,4,2,2,2, , ,2,0,1,9,0.9783049,1.3649818
200126,2,180918,180918,2,0,1,3,51,4,S,3,51,,4,1,2,1, , , ,2, ,,2,2,2,1,2, ,1,1,2,2,1,1, , , , , , ,2,1,1,1,2,2,1, , , , ,2,2,2,2,2,3,2,2,2, , , ,2,2, , ,2,2, ,3, ,2,1,1,1, ,2,1,2,1,1, ,3, ,2,1,1,3,2,2,1,1,4,1,2,2,3,2,3,2,64,6,2,1,1, ,2, ,2,2,8,1,2, , ,2,3,4,4,3,3,3, , ,2,0,1,9,0.4699865,0.6657689
200127,2,180918,180918,1,0,1,3,12,3,S,3,12,,3,2,1,1, , , ,2, ,,2,1,1,2,1, ,1,2,9,1,4,4, , , , , , ,2,4,2,1,1,4,1, , , , ,1,1,1,1,1,9,2,9,1, , , ,1,1, , ,1,1, ,9, ,2,2,2,2, ,1,2,1,2, ,2,3, ,1,3,2,2,4,3,1,3,2,1,9, , , , ,1,50,3,2,1,1, ,1,1,1,2,7,1,1, ,1,1,2,1,1,3,2,2, , ,1,1,1,9,1.0950307,1.0562042
200128,2,180918,180918,2,0,1,1,36,5,U,1,36,,5,2,1,4, , , ,2, ,,2,2,1,2,1, ,1,1,1,1,4,1, , , , , , ,1,1,4,3,1,1,2, , , , ,1,1,1,1,2,1,3,4,1, , , ,1,1, , ,2,2, ,1, ,1,2,2,2, ,1,2,1,2, ,2,1, ,1,2,1,2,4,4,1,4,1,9,9, , , , ,2,70,8,2,1,1, ,5, , ,4,10,1,3,1,2,1,3,3,2,1, ,1, , ,1,1,1,9,1.2421305,0.5322562
200129,2,180918,180918,1,0,1,2,17,4,S,2,39,,4,2,9,9, , , ,1, ,,2,2,2,2,2, ,3,2,3,2,1,1,1,9,2,2,1,1, , , , , , , ,2,2,2,2, , , , ,9,3,1,5,9,9,9,4, , ,3,3, , ,1, ,2, ,1,1,1,1,2, ,2,1,9, ,3,2, ,1,9,3,2,8,2,1,4, , , , , , ,2,46,8,2,1,1, ,5, , ,1,9,1,2, , ,2,4,5,5,4,2,2, , ,1,1,1,9,0.8627793,0.7487173
